keywords,cluster_number
Chan-Vese model,43
Spectral deconvolution,28
Experimental semivariogram,42
SWAP,29
Template-matching algorithm,19
SigMT,2
World Wide Web,29
GPU acceleration,13
Desktop computer,6
Crystal structure,33
Stromboli volcano,40
Lifting scheme,29
Gravimeter,2
Contaminant hydrology,24
Shape description,29
Metadata review,12
High throughput computing,9
Ulleung Basin,24
Kriging,11
Randomly heterogeneous media,48
Production sensor data,45
Master recession curve,30
Chart,8
Regional seismicity,3
Semantic segmentation,12
property,29
Alluvial valley,24
Minmax problem,46
Travelling wave,29
Close-range photogrammetry,28
Coral point count,29
Vector field,48
Normality,32
Randomization tests,42
Recorded ground motion,29
Intelligent discriminant classifier,48
Steps and pools,29
Parallel computation,11
Coons patches,29
Direct numerical simulation,15
Colocated cokriging,9
Order statistics. Nonparametric. Association,29
Quartz grains,36
Dissipation,0
Graphical user interface,13
Hyperparameter tuning,41
Object-based adaptive clustering,9
stress field,29
Slope stability analysis,22
Tablet pc,34
Diskless cluster,9
Resolution merge,16
Outlier detection,17
Multifractal model,43
Multi-temporal,2
Synchroton X-ray micro computed tomography,28
Magellan satellite,41
Compressing method,10
Object detection,17
Dewey,34
Rectangular body,4
Adaptivity,48
Data treatment,45
Ambient-noise,2
Research organization,16
Spatiotemporal principles,48
Production prediction,7
Rock fractures,33
Generalized cross-validation,48
Association Analysis,22
Weighted error function,46
Reservoir geophysics,37
Ore deposits,38
Biogeochemical processes,3
Inverse problems,11
Multiple interacting continua (MINC),48
Palaeomagnetism,2
Fluid-column resistivity,37
Radon transform,35
Weighted metric learning,7
Zijderveld plot,20
CIPW,2
Cellular models,23
Un-decimated DWT,38
Linear mixtures,0
Distance measures,29
English Channel,34
Deformation of planes,33
Exploration Rover,3
Multiscale,0
Search neighborhood,29
Geometry,4
Bitmap,21
Topographic high,20
Cyberinfrastructure,9
Hypsometric tinting,18
Visibility,30
Flushing,47
EMLCLLER,2
Tomogram volume,7
Mobile computing,9
Kinematic forward modeling,26
Linear flow equations,47
Catchment,24
Exponent extension,29
Multifractal,2
UV index,7
Programming framework,6
Finnmark,2
Vector analysis,22
XQuery,2
power model,23
Displacement field,32
Analogue modelling,41
Lateral variations,4
Geographic visualization,27
MWEasyDHM tool,10
Visible and Near-infrared infrared diffuse reflectance spectroscopy,28
Ocean tides,14
Anaglyph,28
High-resolution remote-sensing image,18
norm,2
Seed region,29
Experimental cross-variogram,42
Local conservation,29
Quantitative association rule,7
Discharge measurement,7
PEBI grid generation,9
Beam blockage,33
Pre and post processing,16
Continental shelf,29
Mesonorm,2
OPeNDAP,2
Experimental variogram,42
Drill holes,37
Trapping mechanisms,48
DTW,2
Index transform,7
System architecture,16
ArcScene,2
Effective medium model,23
Decision support,29
Spatial data processing,27
Morlet wavelet,11
Fire severity,29
MOC,34
Indicator Cokriging,7
Boussinesq approximation,11
Vegetation greenness,35
Sedimentary paleomagnetism,36
3-D,2
Petrological analysis,22
Hybrid parallel strategy,48
Volcanic source,40
Complex terrain,20
Reverse time migration,32
Tabriz basin,24
Strength,32
Cyclic stratigraphy,36
Nonparametric method,10
Hidden Markov model,23
Models,43
Neural network application,1
Aqueous complexation,0
Watershed hierarchy,24
Metadata model,12
Geological visualization,3
Durov diagram,8
Atmospheric processes,35
Datum change,32
Catalogue service,16
Resolved shear,33
Continuous polar dipole-dipole soundings,33
Micropaleontology,2
Computer vision,6
Folds,4
Regular grid network,16
Time history recommendation,29
Soil erosion modelling,35
Semivariance,2
Synthetic seismograms,0
Facies successions,36
Groundwater,24
Virtual outcrop models,23
Near-shore,2
Automatic-contouring procedures,16
Soil suitability,35
Wind speed,30
Lhasa River Basin,24
Petroleum resources,38
Image recognition,18
Watercourse,24
Data flagging,45
Spherical-stochastic analysis,22
Gravity disturbance,39
Rock materials,33
Q-mode,2
GHCN-Daily database,12
Newton-Raphson method,10
Minimization,48
Cross covariance,11
Automatic time picks,29
Tough2-MP EOS5,2
image processing,18
Kinetics of minerals dissolution,0
Modeling integrated data,45
Illustrative geology,3
Parameter partition,11
Condor,14
Image binarization,18
Marine geophysics,3
State parameter,11
Anisotropic media,0
TOPS,29
Diagnostic plots,20
Data-base management systems,16
Fuzzy ranking,29
Geological software,3
Beam skew,48
Supervised learning algorithms,6
Gold mineralization,37
Astronomy,3
Potential,29
Dispersion variance,11
Mathematics,6
Sediment Yield Minimization,35
Wavelet transform,48
Converted waves,29
Local least-squares,29
Sedimentary particles,36
Spatial partitioning,27
Drillcore structure,33
Finite-difference method,10
Data curation,45
Microearthquake,2
Event coincidence analysis,22
Adversarial autoencoder,48
Analytical models,23
Free and Open Source,29
Clustering tendency,48
Contour maps,8
Rings,29
River level,24
Voronoi diagrams,8
Monthly flow,47
Dielectric log,0
Voronoi neighbors,29
Earth ellipsoid,4
SHEMAT,2
Subsurface,37
Artificial Neural Networks (ANN),1
Fuzzy clustering analysis,22
Data conditioning,45
Multi-scale image representation,18
Arsenic,35
Redox reactions,0
Radionuclide transport,35
Modified frequency magnitude relationship,48
Slope maps,8
Slope of aspect,33
Streamwater temperature forecasting,35
Multi-processor,2
Greyscale,4
Chesapeake,2
Pressure monitoring,32
Wireline logs,16
Stochastic inversion,11
Rate constant,7
Invasion percolation,35
Electromagnetic spectrum,41
Arc/Info binary coverages,11
Occlusion,0
Data Assimilation,45
Line generalization,48
Pixel unmixing,4
Grain boundaries,29
Stratigraphic age,37
Earthquake magnitude distribution,44
Deep geological sediments,36
Sorting geologic L- and S-data,3
Modifier,11
PPA,34
Exhaustive CHAID,22
Werner operator,16
Isopleth maps,8
Geological exploration engineering,3
Full wavefield response,29
Isocon diagram,8
Petrophysics,3
Chi-Chi earthquake,44
Laplace equation,32
Disintegration characteristics,32
Fourier Transform,29
Interpretability,7
Validation,13
Short-term forecasting,22
Block model,23
Whole rock geochemistry,3
Parameterization,13
Back propagation,29
Data model and spatial analyses,27
Nearest neighbor,29
IBM AT,21
Cotopaxi,2
Waveform,13
Parameterless automatic classification,7
Portable software,6
Principal component analysis,22
Coal bed methane,38
Quantitative micro-mapping,22
Earth's inner structure,33
Object-based image analysis,18
Map comparison/integration,8
Resolution of dispersion image,18
Communicability,48
Local homogeneity filter,48
Program design,16
Tool,10
Scaling law,29
Various electrode arrays,0
iTOUGH2,2
Residual resampling filter,33
Classification probability estimation,7
Coastal applications,14
Local anisotropy,0
One-way ANOVA,2
Neptunium,35
Physical samples,42
Areal multivariate classification,11
Paleontological events in time,29
Magnetic field boundary,39
LULC mapping,20
Orthogonal,4
Multi-core processing,13
Categories,7
Water-rock systems,16
Cation disorder,48
Formation volume factor,7
Resistivity sounding inversion,0
Ionospheric models,23
Source code,16
Average mutual information,7
Automatic,16
Block diagrams,8
Lattice Boltzmann method,10
Urban underground space resource,29
Ore minerals,38
Response surface,33
Mine planning,38
Spreadsheets,12
Obstacles,32
Triaxial compression test,42
Image sharpening,18
Compression curve,30
BigTIFF,2
Direct Sampling,42
Gravitational curvature,39
Downward continuation,32
Hydrogeochemical analysis,22
Palaeocurrent analysis,22
Optimal parallelism,13
Earth system models,23
Triangulated irregular network (TIN),48
Inundation analysis,22
Residual similarity,48
Cross-hole imaging,28
DECIGB,2
Density map,8
User requirement,16
Affine transformations,48
Microcomputer,6
Haralick parameter,11
Solubilities,2
Voronoi polygons,4
Subsurface characterization,3
Explainable AI,34
Object models,23
test,2
Seismological waveform data,45
Geological faults,3
Embankments,24
Image,18
Volume fraction,7
Saliency analysis,22
Weighted Euclidean distance,7
X-ray diffraction,28
MRF,2
Space-time kriging routine,7
Impact craters,33
Distributed architecture,9
AMS,34
Variography,37
Optimal route,16
Contingency table test,42
Dielectric permittivity,0
Adjust 3D line,31
Soil-water repellency,35
Orbit error,46
Grid refinement,9
Lag insertion and local reconstruction,32
Cartographic generalization,20
Recursive prediction,11
Magellan,2
Interactive graphics,6
Kirchhoff depth migration,32
Component-based modeling,26
Active model,23
Well hydraulics,29
CORE,48
Index table,7
Electromagnetics,41
Diapirs,2
Distributed modeling,26
De-noising,2
Hydrologic modeling,26
Glaciology,3
fracture orientation,33
PL/1,2
Skeletonization,2
Differentiation,48
Three-dimensional reconstruction,20
Google Earth Engine,34
Timing parameters,7
Grid transform,9
Advection-dispersion,2
Robust estimators,7
ArcPRZM-3,2
Contamination management,35
Atmospheric forecasts,35
Ash plume,40
Ankara andesites,33
Lumped hydrologic modeling,26
Sedimentation simulation,15
groundwater types,24
Pedon,2
Exposure-inundation episodes,29
Querying,12
Multi-layer perceptron,2
Surface strength of rocks,33
Pyroxene,36
Surface slope and orientation,33
Blake's law,16
Evaporite,36
Cyber-infrastructure,2
Diffraction,28
Vadose zone,29
Satellite image classification,18
Transparency,16
non-linear model,43
Automatic interpolation,4
Predisposing factors,7
Structural mapping,20
Sedimentary rocks,36
MI,34
Computer-assisted petrography,3
Parallel algorithms,19
Numerical identification,48
Linked list,29
Systems view,16
Analysis technique,22
Portable generators,16
San Andreas Fault,34
Heihe Watershed Allied Telemetry Experimental Research (HiWATER),16
Breccias,36
Shape-data collection,29
Circularity,48
Coupled three-dimensional circulation and biogeochemical models,23
Shannon Weaver statistic,7
MB System,34
Maximum-branching algorithm,19
Process chain,16
Reaction path,32
Automated acquisition,16
Semantics,12
Weight,7
Eulerian-Lagrangian solution,16
IEEE 802.11,34
Isometric log-ratio transformation,48
Quandt log-likelihood statistic,7
Structural soil crust development,33
Penalty function,29
Transformation of axes,32
Groundwater transport model,24
Wildfire,25
Discrete fracture matrix,33
Stratigraphic sequences,37
Erosion,24
Client/Server architecture,9
Distance weighting,7
Watson's U test,42
Strain evolution,32
Atmospheric modeling,26
The Palmer Drought Severity Index (the PDSI),7
Mixture surrogates,29
Mineral exploration,38
Geophysical time series,3
Cyclone,44
Normal distributions,7
Change classes,32
Differential operator,7
Component-oriented programming (COP),6
Structural fabric data,45
Fragmentation prediction,32
Power spectrum envelope,29
Stereograms,2
Benchmarking,22
Graph-based model,43
Digital Earth,6
Low-enthalpy,2
Deep belief network,29
Wave energy,29
Micro-CT,2
Quality,16
TTI,2
EasyDHM model,43
Control of dynamics,32
Dispersion curve,30
Tide observations,29
Beam hardening,33
Data service,45
Differentiable random field,29
EMS memory management,16
Fractal,4
RVE,2
Stereopair graphs,8
Mining constraints,38
CO transfer,29
Trend removal,32
Artificial Neural Networks,1
Drumlins,25
Process-response model,43
Multi-file manager,2
Business aspects,16
Database workspace manager,16
Meandering rivers,24
Inclusion,32
Vertical electrical sounding,29
Low-rank signal,41
Interference test,42
Differential compaction,0
Kilauea lavas,36
Grain size distribution,29
Rock,33
major elements,29
Relief,29
Laplace transform,32
Group decision-making AHP,29
Cylinder template,23
Mesoscale modeling,26
Pseudogravity transformation,32
SVM-RFE,2
Spain,34
Latent Dirichlet Allocation,7
False trigger,29
Measurement of shear-wave splitting,7
Earth observation,33
Cartographic animations,20
Production ratio index,7
Geo-referenced data,45
Coordinates transformation,32
Vector-based model,43
Multivariate geochemical data,37
Tropospheric propagation delay,0
Nickel,38
Natural hazard,35
Spectral decomposition,0
Control Charts,29
Safety factor,7
Nested structures,48
Protolith discrimination,32
Rare earth elements,29
Perfect-plasticity,2
Image tiling,18
Natural convection,0
Circle detection,17
Scintrex CG-3/3M,2
Univariant phase equilibria,48
Heterogeneity,11
Probabilistic slope stability analysis,11
Resource evaluation,22
DTA,2
Cracking process,29
Episodic GPS,34
Casualties,32
Situation awareness,32
Echo intensity level,29
Pattern discovery,48
Shear damage zones,33
Terron,2
Hydrodynamics,0
Consolidation,32
Grain shape,29
Reference curves,30
Sparse-spike deconvolution,28
Strain,32
Leduc,2
Trace map,8
FEniCS,2
Thematic,48
Resistivity,37
Dynamic orbit determination,32
Structured walk,29
Large linear inverse problem,48
Clusters,9
2D homogeneous potential problems,48
Kullback-Leibler divergence,32
Computer learning,6
Angelier and Mechler's method,10
Van der Waerden test,34
Transcrystalline cracks,33
Majorized augmented Lagrangian method,10
New Madrid,34
Optimization techniques,13
Mass transfer,29
Paleoenvironments,2
Circular,4
Nonlinear noise,0
Hyperplane,2
log fO-pH diagram,8
Facies architecture,3
Co-occurrence probabilities,11
Green function,29
Depth average avalanche models,7
microwave channels,41
Coalbed methane (CBM),35
Biodegradation,0
Modified analytical hierarchy process (M-AHP),48
Missing data imputation,45
Digital overlay,6
Scotland,34
Globally optimal partition,48
ISDN,2
Earthquake zoning,44
Time step optimization,29
Multivariate thematic data,45
Guided User Interface,13
R-project.org,2
Cartesian,48
Gejiu,2
Coefficient of restitution,7
Gravity field determination,39
Sand ripple prediction,29
Mass occurrences,33
Map spatial agreement,8
Orientations,48
Multi-thread parallel reconstruction algorithm,48
Prediction uncertainty,32
Hat matrix,48
Brine composition,35
Nearshore processes,14
Resistivity sounding,37
Deformation of lines,33
Horvitz Thompson Estimator (HTE),22
Homoscedastic model,43
Parameter compensation,11
Microbial decomposition,35
Fossils,3
iasp91 and ak135,2
Circular linear,2
Standard,7
Natural gas,38
Categorical spatial variable,27
COLLADA,2
Characteristic analysis,22
Numerical dispersion,11
Ocean,14
Hybrid neural network,1
Orientation,48
Zone of influence,29
Spatial component,27
Analytic Hierarchy Process (AHP),48
Moment tensor determination,48
Rissa radar,41
Field digital mapping,20
Posterior distribution,48
Spline,4
Sulphur,2
Polarimetric synthetic aperture radar (PolSAR),41
Raster-to-vector conversion,32
Latin hypercube sampling,34
DLL,21
Probabilistic seismic hazard analysis,44
Optimum-path forest,14
Water temperature,35
Ontologies,12
Ray path,29
Two-phase,2
Himayayas,2
Gauss-Markov,2
Risk-averse adaptation,32
Landscape evolution modelling,32
Microseismic event analysis,22
Surface energy exchange,29
Synthetic seismogram,33
Spheroidal inclusion,48
Ferrobustamite,2
Lineage model,23
Paleobiology,3
Charged ions,0
Geoscience information systems,16
Sinusoidal current,0
Generalized data-base management system,16
PCR-GLOBWB,2
Fourier sine series,29
PC,34
Soft-linkage,2
Fractured rock,33
Forest area,29
STASSAGE,2
Inverse modelling,11
Space time linear coregionalization model,23
Polynomial and trigonometric interpolation,11
Sensitivity function,48
Steepest descent method,29
Drainage network analysis,22
Landlab,2
Nitrogen,35
Shaded relief image,18
Ionospheric disturbances,41
Well logs,29
GeoVR,2
Vector-based algorithm,19
3D lithological conditional simulation/prediction,31
Object oriented,48
Unsaturated hydraulic properties,33
Subsidence detection,17
Seismic forward simulation,44
Transformation,32
Granitic intrusions,36
Supercomputing,9
ObjectStore,2
Equilibrium beach concept,48
Quantitative precipitation,35
Insertion,48
Two-rank acceptance sampling plan,42
Biostratigraphic zonation,37
ZC model,43
Noise analysis,22
Dijkstra,2
Non-smooth data,45
Lindenmayer system,16
Lithological logging,37
Long range correlation,7
Degradation,32
Digital seismograms,41
Organization structure,16
Generation of reactions between phases,29
Volcano,40
Shape preferred orientation,29
Monod kinetics,0
Genetic programming (GP),1
Machine learning model,23
Tailings dam,24
Numerical methods,10
Modeling and interpretation,26
Web services,16
Digital seismological data,45
Three-dimensional imaging,28
Groundwater quality,24
Otolith,0
Fault slip,46
Java and Jess,34
Symmetrical matrix,4
Cutoff grades,7
Singularity analysis,22
Classification algorithm,19
Model-based,2
Topographic effect,20
Program archive,16
Probabilistic seismic hazard analysis (PSHA),44
Ore sorting,38
Spatio-temporal pattern,48
Pattern search algorithms,19
Slope failures,25
High-order methods,10
Morphometric chronoclines,11
Semi-infinite space,29
gravity,39
Feathering-based blending,48
Clastic sequences,4
Coordinate estimates,7
Dynamic equilibrium,32
Coons patch,29
Concurrent processes,16
Overthrust structures,33
Modem,41
Heterogeneous rocks,33
Historical seismometry,20
Volumes,7
Wavelet Transform,48
Void,32
MCDA,2
Tectonics,3
Radar (microwave) imagery,18
Morphogenesis,1
Subsurface system,33
Spatial distribution.,27
Automated construction,16
Remote sensing image,18
Sedimentary petrology,36
Thermodynamic calculation of mineral equilibria,11
Fuzzy classification,48
Newmark sliding block method,29
Mineral classification,38
Block compressed tracing,29
Geology preserving parameterization,3
Discrete Gaussian model,23
Wenner,2
Fracture mechanics,33
Worldwide lithology,37
Non-point pollution,35
Analytic method,10
Lithospheric deformation,0
Lamproites,2
Ascending hierarchical classification,48
Husky Hunter,29
Particle filter,0
Success probability,7
Chromaticity,4
Rock porosity estimation,33
GNSS,2
Unstructured mesh,48
Correlation coefficients,11
Finite element method (FEM),10
Southwestern Fujian district,29
Autoencoder,2
GRASS GIS,34
Map compilation,8
Management system,16
Smoothing spline,4
Meta-heuristics,2
Dynamic linking,48
Soil sampling,35
Vertically projected triangulated network,29
Thermal diffusivity,0
Geophysical monitoring,37
ATCOR2 model,43
Revised estimate of depth,7
Tablet,6
Aerial triangulation,20
Implicit sampling,42
Oceanic core complex,48
Wave-equation,2
Nuclear Magnetic Resonance (NMR),39
Growth rate,7
Recurrent neural networks,1
Rigid object,48
Contour tree,4
Groundwater pathway,24
Least-squares error minimization,46
Detection,17
Biosphere modeling,26
WHAT,29
Relevance analysis,22
Statistical and machine learning techniques,6
GGM,2
Scotia Sea,14
Sea ice data,14
Sea level anomaly,29
Rank reduction,7
Zijderveld projection,7
Fe-Ti oxides,36
Fuzzy relationship,48
Controlled points,29
Equilibrium Eulerian model,23
Spatial data analysis,45
TDR,2
Vicinity functions,16
Orthorectification,2
Geoprocessing services orchestration,16
Ground water flow modeling,47
Water flood,24
Grid pattern,48
Gaussian averaging filter,7
Keyhole markup language,6
High performance computing,9
Identification coefficients,11
Unsupervised machine learning,6
Bulk fabric,29
Acoustic wave equation,29
Igneous,36
Irregular grid,9
MATLAB-Based GUI software,21
Space-filling designs,23
Rock fabrics,33
Earthquake data,44
DEMs,34
MM5 model,43
Adaptive boosting,48
Numerical soil classification,7
Finite difference technique,48
Pore-pressure prediction,22
Image line combination,18
Impact factor,32
Functionality,13
H.Moran,2
Online algorithms,19
Displacement gradient,4
Mine safety,38
Currents,14
Wellington Formation,33
Earthquake source complexity,44
Pattern,48
Software reuse,16
Adaptive Mahalanobis clustering,9
Krylov subspaces,2
Orography,2
Representative realizations,32
Space time geostatistics,3
Growth,32
Tensors,2
SE Spain,34
High-resolution remote sensing imagery,41
Mualem,2
Shelf sediment transport,35
Pit filling,29
Kernel methods,10
Distributed parallel computing,9
Priori information,48
Geological maps,3
Database management,12
Overland flow algorithms,47
BASIC 3.0,48
Doubly adaptive meshes,48
Multivariate space time random field,11
Marine pollution,14
Groundwater potential zones,24
Permafrost,25
Plate reconstructions,33
EEMD,2
Iteratively reweighted least squares,29
ISO-5167-2,2
Artificial intelligence/machine learning,6
Metadata mapping,12
Amplitude partitioning,4
Minkowski operations,16
Res function,34
Virtual outcrop,36
Plateau,25
Stochastic conditions,11
Genetic reconstruction,1
Water flow modeling,47
X-ray maps,8
Source elimination,29
Multi-scale pore network,16
Granular mixtures,0
EBSD,2
Spectral-element method,10
Drill,37
Reef,14
Mining damage,38
Micro-computed tomography,28
Scanning X-ray analytical microscope,22
Decreasing crop yield,7
Hotine's integral,48
Map,8
Watershed,24
Paleostress inversion,11
Migration pathway,32
Silicate structures,0
Profit value of composite,7
Acoustic waves,41
Resource-supply system,16
Silicate melt,0
Estuarine processes,14
Solar radiation,35
PREM,34
Mass balance calculations,7
Iterative methods,10
Radiative cooling,0
Vectorisation,2
Programmed instruction,6
Map editing,8
Sulfur isotope,35
Jointed rock mass,33
Graphical-user-interface (gui),2
Pore/cavity/skeletal classification and separation,7
Discontinuous Galerkin method,10
Unsteady-state displacement,32
Inverse methods,10
Moho,2
Wettability,0
Fault reactivation,46
FORGE,29
Rainfall-runoff relationships,48
Fracture analysis,22
Ca in olivine,34
MT3D-USGS,2
Workgroup documents,16
Fuzzy C-lines analysis technique,22
Landscape evolution model,23
Tectonic stress,33
Drainage network extraction,16
Truncated Gaussian model,23
Nova Scotia,34
Sedimentary deposits,36
Power-law form spectra,0
Digital field-mapping tool,6
ArcView 3,29
Scientific data markup language,45
Intuitive visualization,13
Supervised classification algorithm,19
Accretion rate,7
Contour generation,4
Random permutation,48
Radiative integrals,0
Latent variable,48
Elastic half-space,4
Interactive multimedia,6
Shuffled complex evolution algorithm,48
Granitic rocks,36
Modeling with UML,26
Rotation of poles,29
Adaptive TIN,48
River network,24
Cost functions,16
Ensemble,29
Integrated services,16
Analytic geochemistry,37
Inversion layers,33
